Операция,Приоритет Операции,Станок,"Осталось, шт","Трудоемкость Операции, час","Трудоемкость на единицу, час"
5628.058-01,10,DMG CTX alpha 500,10,"6,1","0,61"
5628.052,10,Doosan LYNX 220 LYC,5,"2,6","0,51"
5626.269,10,Feeler FTB-350L,17,"5,1","0,3"
5626.153,10,Doosan LYNX 220 LYC,14,"12,6","0,9"
5600.092,10,Doosan Puma 2100M,30,"11,7","0,39"
5600.114,10,DMG CTX alpha 500,25,7,"0,28"
5600.733,10,Doosan LYNX 2100,25,23,"0,92"
5612.020-01,10,Doosan LYNX 220 LYC,1,"0,5","0,47"
5600.682,15,Doosan Puma 2100M,10,"9,5","0,8"
5600.115,15,Doosan LYNX 2100,50,"37,5","0,75"
5628.141,15,Schaublin 225 TM,30,"11,4","0,38"
5600.752,15,DMG CTX alpha 500,60,15,"0,25"
5600.615,15,Schaublin 225 TM,30,"14,1","0,4"
5714.113,20,Schaublin 225 TM,10,"1,4","0,14"
5060.037,20,Doosan LYNX 220 LYC,15,54,"3,6"
5600.793-03,20,Schaublin 225 TM,60,"0,6","0,23"
5708.005,20,DMG CTX alpha 500,5,20,4
5413.003,20,Doosan LYNX 220 LYC,10,"25,7","2,57"
5600.411,25,Doosan LYNX 220 LYC,80,"58,4","0,73"
5051.003,25,DMG CTX alpha 500,60,"22,2","0,37"
5805.077,26,Doosan LYNX 2100,5,"2,2","0,44"
5110.032,27,Schaublin 225 TM,50,"18,5","0,37"
5869.045,30,Doosan LYNX 2100,5,"2,8","0,55"
5869.044,30,Doosan LYNX 2100,5,6,"1,19"
5708.023,30,Doosan LYNX 2100,10,"11,7","1,17"
5708.022-02,30,Doosan Lynx 220B,10,"6,2","0,62"
5628.242-01,30,Doosan LYNX 220 LYC,20,8,"0,4"
5628.191-06,30,Doosan LYNX 220 LYC,21,"18,5","0,85"
5628.122,30,Doosan LYNX 220 LYC,5,"2,4","0,47"
5626.182-01,30,Doosan LYNX 220 LYC,5,"5,5","1,1"
5604.074,30,Schaublin 225 TM,35,28,"0,8"
5600.788,30,Doosan LYNX 220 LYC,40,"47,9","0,46"
5600.718,30,Doosan LYNX 2100,40,"10,4","0,26"
5600.461-01,30,Doosan LYNX 220 LYC,40,60,"1,5"
5600.361,30,Doosan LYNX 2100,45,45,1
5600.271,30,Doosan LYNX 220 LYC,40,40,1
5600.099,30,DMG CTX alpha 500,25,7,"0,28"
5600.065,30,Doosan LYNX 2100,50,"19,5","0,39"
5600.119,30,Doosan Puma 2100M,30,"17,7","0,59"
5600.135,30,DMG CTX alpha 500,30,"8,1","0,27"
5600.553,30,Doosan LYNX 220 LYC,30,"25,2","0,84"
5612.011-01,30,Doosan LYNX 2100,1,"0,7","0,7"
5106.027,30,Doosan LYNX 220 LYC,6,"1,4","0,24"
5628.016,32,DMG CTX alpha 500,30,"16,2","0,54"
5106.012-01,32,Schaublin 225 TM,3,"0,5","0,15"
5708.225,33,Schaublin 180 CCN,10,7,"0,7"
5626.058-01,34,DMG CTX alpha 500,10,"8,6","0,86"
5870.004,35,Doosan LYNX 220 LYC,8,10,"1,25"
5870.002,35,Schaublin 225 TM,9,"5,9","0,65"
5869.002,35,Schaublin 225 TM,40,"18,4","0,46"
5714.127-1,35,Doosan LYNX 2100,15,"19,5","1,3"
5708.171,35,Schaublin 225 TM,20,6,"0,3"
5600.617,35,Schaublin 225 TM,30,"6,6","0,22"
5600.155,35,DMG CTX alpha 500,35,"26,6","0,76"
5600.127,35,Schaublin 225 TM,120,"52,8","0,44"
5600.052,35,DMG CTX alpha 500,30,"20,4","0,68"
5060.017,35,DMG CTX alpha 500,30,"54,3","1,81"
5060.011,35,Schaublin 225 TM,30,21,"0,7"
5626.151,35,Doosan Puma 2100M,12,"0,1","0,95"
5060.031,35,DMG CTX alpha 500,30,42,"1,4"
5708.049,35,Doosan LYNX 2100,1,"0,6","0,58"
5600.764,35,DMG CTX alpha 500,63,"6,3","0,1"
5600.291,35,DMG CTX alpha 500,20,42,"2,1"
5600.533-01,35,Doosan LYNX 220 LYC,1,"0,7","0,68"
5628.003,35,DMG CTX alpha 500,2,"1,8","0,9"
5628.131-01,37,Doosan PUMA 240LC,2,"1,3","0,67"
5714.025,40,Schaublin 225 TM,5,"3,4","0,68"
5628.021,40,Leadwell T7i,18,"7,7","0,43"
5626.204-02,40,DMG CTX alpha 500,10,"39,8","3,98"
5235.003,40,Doosan LYNX 220 LYC,20,"12,6","0,63"